attempt,phase,signature,slot,conn,t0_ns,t1_ns,t2_ns,t3_ns,sign_ns,send_ns,sign_to_send_ns,send_to_seen_ns,sign_to_seen_ns,landed,err,rpc_poll_count,fee_lamports,t_confirmed_ns,t_finalized_ns
21,warm,2wgVp3EgH7UmV7KC9ZLmqweARNGz9Aw2CexUEdoKETvAst6dYSHDZidnWxVbwPHqvXUSi6s2HGm54Ut7oz1dFzni,0,1,1218736005463109,1218736005480054,1218736005525753,0,16945,45699,62644,0,0,0,send_fail,0,0,0,0
22,warm,5w1f8vRxLcrr8h4RBfx7VKoGKsuRaZeDwmjPpAPfxGSCX92R9vG4sKmPG6PhMPmjzcvohp6UaM8ZtGMmknUVNrC6,0,1,1218736385287851,1218736385304776,1218736385344826,0,16925,40050,56975,0,0,0,send_fail,0,0,0,0
23,warm,2tFnwP4qVPR4vnMiP3r2HLFWohdJwF9gsc1AhPmigQXSHRxi3LTPkDuD5avu8gRBCqsDKAEYDAMkVPVrkUaYH5mn,0,1,1218736785806739,1218736785823904,1218736785871656,0,17165,47752,64917,0,0,0,send_fail,0,0,0,0
24,warm,ewCM4nKfU2owwejHrRdmrG9oZ4RXgdzRX6oDwJYCEtw3Pum4aqebHYJFtK7w4DMseQdTDMYTC1we8rKomFfAHnG,0,1,1218737207293313,1218737207309918,1218737207356528,0,16605,46610,63215,0,0,0,send_fail,0,0,0,0
25,warm,4R3CA8mTT6zMVwiDk5ChKo16N7Ugc9qigRnGB7gVSdRRTbyjjdBfHsk4WZ1PZbWfPJ2tH5CVkvNGpmbLBHK8pTZP,0,1,1218737819897563,1218737819914789,1218737819961949,0,17226,47160,64386,0,0,0,send_fail,0,0,0,0
26,warm,2rFjZmKQ9X8ATxvguhqTzUfJTSDRcQeKTiYx7dm2DEULaogaJmvEnXCe3Bn5gdKj5uD4rMHLRVZuV85todcrAaPG,0,1,1218738231528527,1218738231545252,1218738231596649,0,16725,51397,68122,0,0,0,send_fail,0,0,0,0
27,warm,4krbX6RgXeua1GNqKGQvgmvRr36EbMBUpr6Uvz6qc34eYfpXWbkPzb3tvB6KMPyh41DDvW9zbdaduE5Eoz2kGT37,0,1,1218738633531793,1218738633549339,1218738633599534,0,17546,50195,67741,0,0,0,send_fail,0,0,0,0
28,warm,5dPvgSsgUr6X1wfu5hUUMaXse5sCxLgvFfBDSdx8UoLgBCZQXr2qvyX7wicheHd8irixPTfBCas7hHPqeRSFFuLx,0,1,1218739043321644,1218739043338339,1218739043381614,0,16695,43275,59970,0,0,0,send_fail,0,0,0,0
29,warm,4UL3k4NBmEAvCssPrKrgSq1ukXHDnuENRKvFAUSxysCShjUVMgciosy14aEJAKp44TSQX8qdqAiXXiCEZwSEGxTg,0,1,1218739444097908,1218739444118469,1218739444169916,0,20561,51447,72008,0,0,0,send_fail,0,0,0,0
30,warm,61665vEgfZNyh6nVSdCBtFF3Z4SXBXYQEJmkyieHZ3bf5muPy1MUbs1rcstb8v3ERXTMjiw3u4Jq54T3qgfMT3T6,0,1,1218739846575796,1218739846593903,1218739846638450,0,18107,44547,62654,0,0,0,send_fail,0,0,0,0
31,warm,34LWkoDYNn2S3KdKWxZTq173Tky87VnWsUR22kaUJysC8urZfLJ4grwH5rFL2ZcPzZiE39Qt6YQqrkC7kzstBiaD,0,1,1218740239370202,1218740239385425,1218740239429300,0,15223,43875,59098,0,0,0,send_fail,0,0,0,0
32,warm,4YUm3eyNbVqHytcd5r5PffZQqo6NwiA6Wr6GHn3M2rZMoAQgUFiQWdC5ggco2B5ySbGQjXMzWmcp1MGWrTcHBPGL,0,1,1218740645356535,1218740645374071,1218740645416174,0,17536,42103,59639,0,0,0,send_fail,0,0,0,0
33,warm,4aiTCJasLiN8HcGGvNBzvyMVdLAFNBZiFGKpDiNTWHEU3cp8PW1733yZpj5tBrASYTD8FSdxZXHdDXb3Y33dA4HF,0,1,1218741047254182,1218741047274743,1218741047320592,0,20561,45849,66410,0,0,0,send_fail,0,0,0,0
34,warm,aoY5L6ArJykFD2nrXku2uSefCFB2Z29CxT3mks4pGtc1EfvWfFmgT6LWKzc2aa7JQbiBG3QMajP4n8F75ibef6D,0,1,1218741473374681,1218741473392207,1218741473438677,0,17526,46470,63996,0,0,0,send_fail,0,0,0,0
35,warm,5KwgRV2koiMuRBD6LtAT3FR5WZcVNE3vUkGCK3kNWkiwu9Aade84w5czGhxwwpptfQ45iZhYDbyGTSAzU7YC5yeF,0,1,1218741874127159,1218741874142973,1218741874185207,0,15814,42234,58048,0,0,0,send_fail,0,0,0,0
36,warm,5Tz64uHC7v9gZXd2CvAAej6DwFEsgUzahhE8XTLCBxXHTddnKuLepzeoxocBoTJ2E8v2t3UD8iUZyyLBzsRsTxhB,0,1,1218742270820596,1218742270837922,1218742270888729,0,17326,50807,68133,0,0,0,send_fail,0,0,0,0
37,warm,3mrJrReBxxb6zmtMX7RterN5e1dPVHSLQ2EADCoRAp8PytHQiBisUkq5Qz11MnMxD28zhJ266SUJxJYoeCZYsMYk,0,1,1218742672033706,1218742672051233,1218742672097212,0,17527,45979,63506,0,0,0,send_fail,0,0,0,0
38,warm,43VWYKXF6Q5Mtz9zvbaRkA5mPy458gwYCUV4o63FSEZKQR4iqRiwet8dEpfv4aXAfTqrenqrFxwPdcVo4u8q95ZW,0,1,1218743071303900,1218743071321617,1218743071378152,0,17717,56535,74252,0,0,0,send_fail,0,0,0,0
39,warm,UUsKEwe3B1MpRqEeDfL3aM9PNNG36rxhG72PY2TjgDP5GnaN3DXKCC74vgAdrGMrsoGMe4Tpd5d1jQ8fjGbtSeo,0,1,1218743474219014,1218743474239736,1218743474284252,0,20722,44516,65238,0,0,0,send_fail,0,0,0,0
40,warm,4wAWdgqGLktCw65BxadcxWBm89p5knX27HssDM5RNCc3nxY1xbct2q5HA5CoKrT9CveFmh9TwwKH4xuPKg5YzPE,0,1,1218743874550872,1218743874566635,1218743874603030,0,15763,36395,52158,0,0,0,send_fail,0,0,0,0
41,warm,3Ra5F3j9sEqD2rwwH4JraPibPDRyPhSK61CEotjuaZtWgbcweTiFDiyc7BGdyfNvuV5Y3jsMNzCLYY2sgHibSMh8,0,1,1218744275583921,1218744275602900,1218744275646265,0,18979,43365,62344,0,0,0,send_fail,0,0,0,0
42,warm,32vVxaGTLVTZbJsZnEiWAG78oUzMMthcTMcaSaq3uzBV8rpZ6hwWRUwvu9ECSaTdWFyJBoffXwS8Dbe54tnRsVid,0,1,1218744682780731,1218744682797506,1218744682841923,0,16775,44417,61192,0,0,0,send_fail,0,0,0,0
43,warm,5kHBLsosUapaEKBREsz2nvJNvhun7U8wukRZaGu7vCEt6eLsbshDpbm2phmYhaMHRysDsYp8WExus5BU2iP3qBGN,0,1,1218745112780622,1218745112798519,1218745112838929,0,17897,40410,58307,0,0,0,send_fail,0,0,0,0
44,warm,3WRwZrx6DHRWY7CREqFKDMqwdFoFzbAzgKToNhA9bWnMf9M6UM4bQgXzoJTsQrddMjJvc5gKnB52FPzGeNBHVoha,0,1,1218745514610127,1218745514630628,1218745514682746,0,20501,52118,72619,0,0,0,send_fail,0,0,0,0
45,warm,3G7RWHEvKZA6LnKBJKHg4LvtPbRhR44THCroffQ5CTNappqP6nSf4VvrEpLjNGPttLL3TiFKpYFLjLmsstD16xdV,0,1,1218745926006679,1218745926026419,1218745926072137,0,19740,45718,65458,0,0,0,send_fail,0,0,0,0
