attempt,phase,signature,slot,conn,t0_ns,t1_ns,t2_ns,t3_ns,sign_ns,send_ns,sign_to_send_ns,send_to_seen_ns,sign_to_seen_ns,landed,err,rpc_poll_count,fee_lamports,t_confirmed_ns,t_finalized_ns
0,cold,56avqSNa9kGSKyBSEthBefWaCYVNWBA1p7poTzzuKMkvjBSeqYNiHo4TgkiZWwwhgvBk4uVg1HYkbBzqZLyp8d1j,450131952,1,1218814507061002,1218814507082444,1218814507114051,1218815456941079,21442,31607,53049,949827028,949880077,1,-,24,5500,1218815456943222,1218824056944925
1,cold,3pG5AdEju9LeXZGQsqDQCFAAKiUXxjuZJRnvC5ijDZFLC273dt9N7SJU34tV4EmuAK5c9adPPoiWZYuMytBkyBPp,450131991,0,1218825110046549,1218825110067831,1218825110106238,1218825584761104,21282,38407,59689,474654866,474714555,1,-,67,5500,1218825584762886,0
2,cold,49gWWxqhfPcVoFfE9sB8XfM6N9ESeXHKo6E1Sdzf4o9WzPqAGzcCBDJnLLzqRS9Kgz3tQQ3VKWy14eaxeMCx7uTP,450132032,1,1218834468781259,1218834468802481,1218834468838315,1218837067234258,21222,35834,57056,2598395943,2598452999,1,-,47,5500,1218837067237112,1218847305316997
3,cold,3gWzTdixXSY3fwWAZCytRBzx5C4W3X1Q6qNqWKKiW3gJAmaA5Vm3EPvT24EiqrwxDo7EY12iDiZ2NkrCR2rKzfkJ,450132076,0,1218848287347213,1218848287364739,1218848287409907,1218848932290904,17526,45168,62694,644880997,644943691,1,-,44,5500,1218848932292787,1218857956106795
4,cold,3Un4hT3NxhsGA1UhgB2q2n1tThyS2jEXae7LXez9dpmRxC7Xg3c8HDZ5Fd5hvDeUbfHFrx835fXLmUASqQi6LyRP,450132114,1,1218858928795441,1218858928816523,1218858928863173,1218859178446498,21082,46650,67732,249583325,249651057,1,-,50,5500,1218859178447830,1218872426172879
5,cold,fyYAFES2SqAkrkWzxYmm2vSX6Yku2bNiowpn5aRbAEFaqsVhnRAJRVzEef71igP4GaNTgCtwT3tuyX7A7Um6A72,450132168,0,1218873270955234,1218873270973832,1218873271026641,1218874070252077,18598,52809,71407,799225436,799296843,1,-,51,5500,1218874070253700,0
6,cold,2WPJ9mw2QL6zdwViFbNXnCfW1Hv2mVqrYG32HucSWAs7LD1tb3sJ6KYKZuBoaAsaumkEshPCuoAHFpgGVVJB35ys,450132202,1,1218883267391148,1218883267409816,1218883267456706,1218883620836521,18668,46890,65558,353379815,353445373,1,-,64,5500,1218883620838915,0
7,cold,5CxMXspYrkVM44cosJeMCWicbmQKkK4KnsVKpPrfBh7664XJmVQBeg4MrFqwqbPYQQcfQx9xiC5YRKXss32ziNJc,450132236,0,1218892461738829,1218892461756465,1218892461805579,1218892730390000,17636,49114,66750,268584421,268651171,1,-,54,5500,1218892730391763,1218904105850368
